,station_name,start_count,end_count,total_rides,LATITUDE,LONGITUDE
250,Pimmit Dr & Los Pueblos Ln,31.0,27.0,58.0,38.900371,-77.205428
251,Baltimore Ave & Van Buren St / Riverdale Park Station,128.0,132.0,260.0,38.969581,-76.937349
252,Baltimore Ave & Jefferson St,146.0,153.0,299.0,38.95548,-76.940133
253,Arlington Blvd & N Fillmore St,50.0,58.0,108.0,38.873755,-77.089233
254,39th & Calvert St NW / Stoddert,979.0,925.0,1904.0,38.922649,-77.077271
255,10th & G St NW,640.0,764.0,1404.0,38.898243,-77.026235
256,Twinbrook Metro,89.0,78.0,167.0,39.062041,-77.120776
257,18th & Monroe St NE,118.0,132.0,250.0,38.93293,-76.979517
258,Layton Hall Dr & University Dr,2.0,5.0,7.0,38.850932,-77.302732
259,Bowdoin Ave & Calvert Rd/ College Park Station,230.0,211.0,441.0,38.978103,-76.928879
260,Guilford Drive & Rowalt Drive / UMD,118.0,119.0,237.0,38.978008,-76.939269
261,Rhode Island Ave Metro,659.0,624.0,1283.0,38.920682,-76.995876
262,20th St & Virginia Ave NW,231.0,231.0,462.0,38.894722,-77.045128
263,N Pitt St & Montgomery St,86.0,86.0,172.0,38.814031,-77.042817
264,District Ave & Strawberry Ln/Mosaic Market Garage,51.0,55.0,106.0,38.872642,-77.230632
265,Fillmore & Bisdorf,48.0,37.0,85.0,38.83863,-77.116206
266,Washington & Independence Ave SW/HHS,599.0,629.0,1228.0,38.886978,-77.013769
267,West Falls Church Metro,56.0,51.0,107.0,38.9001,-77.1887
268,N Quincy St & Glebe Rd,194.0,169.0,363.0,38.876393,-77.107735
269,Hamlin & 7th St NE,645.0,628.0,1273.0,38.927497,-76.997194
270,5th St & Massachusetts Ave NW,1509.0,1547.0,3056.0,38.90093,-77.018677
271,Monroe St & Monroe Pl,19.0,16.0,35.0,39.083673,-77.149162
272,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,213.0,220.0,433.0,38.869418,-77.095596
273,1st & H St NW,877.0,942.0,1819.0,38.900358,-77.012108
274,Minnesota Ave & R St SE,60.0,61.0,121.0,38.869337,-76.978519
275,Maine Ave & 9th St SW,1119.0,1198.0,2317.0,38.88044,-77.025236
276,Herndon Metro South ,24.0,24.0,48.0,38.952001,-77.384557
277,Jones Branch & Westbranch Dr,19.0,26.0,45.0,38.931911,-77.219261
